airline_code,airline_name,flight_number,origin_airport,origin_city,origin_country,origin_region,origin_latitude,origin_longitude,destination_airport,destination_city,destination_country,destination_region,destination_latitude,destination_longitude,distance_km,seats,aircraft_type,codeshare,stops,flight_date,flight_year,flight_month,flight_quarter
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-02-01,2024,2,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-03-01,2024,3,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-04-01,2024,4,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-05-01,2024,5,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-06-01,2024,6,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-07-01,2024,7,3
